Funcion 1,Descripcion,Minutos,Granulos,Minutos por Gránulo,Costo Estimado ($COP),Costo por Gránulo,Estado,TAREA,Duración (días)
CURSO TIPO C,Electivas Complementarias II 2. Inversión y Retorno de la inversión en SST,1236,4,309.0,699403.8428571428,174850.9607142857,True,,
CURSO TIPO C,Electivas Complementarias II 3. Presupuestos y Financiación para Programas de SST,12,4,3.0,6790.328571428571,1697.5821428571428,True,,
CURSO TIPO C,Electivas Complementarias II 3. Presupuestos y Financiación para Programas de SST,2154,1,2154.0,1218863.9785714285,1218863.9785714285,True,,
CURSO TIPO C,Electivas Complementarias III 1. Riesgos y Planificación para Desastres,624,5,124.8,353097.0857142857,70619.41714285714,True,,
CURSO TIPO C,Electivas Complementarias III 2. Gestión de la información y las comunicaciones en emergencias,12,2,6.0,6790.328571428571,3395.1642857142856,True,,
CURSO TIPO C,Diseño y construcción de ambientes interactivos en motores de videojuegos,1542,3,514.0,872557.2214285714,290852.40714285715,True,,
CURSO TIPO C,Animación 2d para videojuegos,12,5,2.4,6790.328571428571,1358.0657142857142,True,,
CURSO TIPO C,Ux y jugabilidad en videojuegos,930,5,186.0,526250.4642857143,105250.09285714287,True,,
CURSO TIPO C,Narrativas interactivas y creación de universos,12,3,4.0,6790.328571428571,2263.442857142857,True,,
CURSO TIPO C,Electivas Complementarias III 2. Gestión de la información y las comunicaciones en emergencias,1542,3,514.0,872557.2214285714,290852.40714285715,True,,
CURSO TIPO C,Electivas Complementarias III 3. Continuidad del Negocio y Recuperación,12,5,2.4,6790.328571428571,1358.0657142857142,True,,
CURSO TIPO C,Fundamentos de la Gobernanza y Ética de la IA,930,5,186.0,526250.4642857143,105250.09285714287,True,,
CURSO TIPO C,Dimensiones de la Gobernanza Corporativa,12,3,4.0,6790.328571428571,2263.442857142857,True,,
CURSO TIPO C,Dimensiones de la Gobernanza Corporativa,1848,2,924.0,1045710.6,522855.3,True,,
CURSO TIPO C,Normatividad y Políticas Públicas de la IA,318,5,63.6,179943.70714285714,35988.741428571426,True,,
CURSO TIPO C,Regulación Internacional de la IA,12,1,12.0,6790.328571428571,6790.328571428571,True,,
CURSO TIPO C,Regimen cambiario,1848,2,924.0,1045710.6,522855.3,True,,
CURSO TIPO C,"Electiva de Profundización I (Régimen de Importación y Exportación)
  Régimen de Importación",318,5,63.6,179943.70714285714,35988.741428571426,True,,
CURSO TIPO C,"Electiva de Profundización I (Régimen de Importación y Exportación) 
 Régimen de Exportación",12,1,12.0,6790.328571428571,6790.328571428571,True,,
GRANULACIÓN TIPO C,Programación en la perspectiva de los negocios digitales,2040,2,1020.0,1154355.857142857,577177.9285714285,True,,
GRANULACIÓN TIPO C,Flujo de materiales industriales y productos de consumo masivo,990,5,198.0,560202.1071428572,112040.42142857143,True,,
GRANULACIÓN TIPO C,Análisis de Requisitos de Software en los negocios digitales,2250,1,2250.0,1273186.607142857,1273186.607142857,True,,
GRANULACIÓN TIPO C,Opción de grado tecnológica,1200,5,240.0,679032.8571428572,135806.57142857142,True,,
