Vigencia,Zona A,Zona B,Zona C,Zona Fronteriza
2020-01-01,123.22,Eliminada,Eliminada,185.56
2019-01-01,102.68,Eliminada,Eliminada,176.72
2018-01-01,88.36,Eliminada,Eliminada,
2017-01-01,80.04,Eliminada,Eliminada,
2016-01-01,73.04,Eliminada,Eliminada,
2015-10-01,70.10,Eliminada,Eliminada,
2015-04-01,70.10,68.28,Eliminada,
2015-01-01,70.10,66.45,Eliminada,
2014-01-01,67.29,63.77,Eliminada,
2013-01-01,64.76,61.38,Eliminada,
2012-11-27,62.33,59.08,Eliminada,
2012-01-01,62.33,60.57,59.08,
2011-01-01,59.82,58.13,56.70,
2010-01-01,57.46,55.84,54.47,
2009-01-01,54.80,53.26,51.95,
2008-01-01,52.59,50.96,49.50,
2007-01-01,50.57,49.00,47.60,
2006-01-01,48.67,47.16,45.81,
2005-01-01,46.80,45.35,44.05,
2004-01-01,45.24,43.73,42.11,
2003-01-01,43.65,41.85,40.30,
2002-01-01,42.15,40.10,38.30,
2001-01-01,40.35,37.95,35.85,
2000-01-01,37.90,35.10,32.70,
1998-12-03,34.45,31.90,29.70,
1998-01-01,30.20,28.00,26.05,
1996-12-03,26.45,24.50,22.50,
1996-04-01,22.60,20.95,19.05,
1995-12-04,20.15,18.70,17.00,
1995-04-01,18.30,17.00,15.44,
1995-01-01,16.34,15.18,13.79,
1994-01-01,15.27,14.19,12.89,
1993-01-01,14.27,13.26,12.05,
1991-11-11,"13,330.00","12,320.00","11,115.00",
1990-11-16,"11,900.00","11,000.00","9,920.00",
1989-12-04,"10,080.00","9,325.00","8,405.00",
1989-07-01,"9,160.00","8,475.00","7,640.00",
1989-01-01,"8,640.00","7,995.00","7,205.00",
1988-03-01,"8,000.00","7,405.00","6,670.00",
1988-01-01,"7,765.00","7,190.00","6,475.00",
1987-12-16,"6,470.00","5,990.00","5,395.00",
1987-10-01,"5,625.00","5,210.00","4,690.00",
1987-07-01,"4,500.00","4,165.00","3,750.00",
1987-04-01,"3,660.00","3,385.00","3,045.00",
1987-01-01,"3,050.00","2,820.00","2,535.00",
1986-10-22,"2,480.00","2,290.00","2,060.00",
1986-06-01,"2,065.00","1,900.00","1,675.00",
1986-01-01,"1,650.00","1,520.00","1,340.00",
1985-06-04,"1,250.00","1,150.00","1,015.00",
1985-01-01,"1,060.00",975.00,860.00,
1984-06-11,816.00,750.00,660.00,
1984-01-01,680.00,625.00,550.00,
1983-06-14,523.00,478.00,421.00,
1983-01-01,455.00,415.00,365.00,
1982-11-01,364.00,358.00,332.00,
1982-01-01,280.00,275.00,255.00,
